supersection,product,mix_prop
Central Interior Broadleaf Forest Central Till Plains,softwood_lumber,0.000519643349480357
Central Interior Broadleaf Forest Central Till Plains,hardwood_lumber,0.432508486517492
Central Interior Broadleaf Forest Central Till Plains,plywood,0
Central Interior Broadleaf Forest Central Till Plains,osb,0
Central Interior Broadleaf Forest Central Till Plains,nonstructural_panels,0.00596821454403179
Central Interior Broadleaf Forest Central Till Plains,misc,0.00967668344032332
Central Interior Broadleaf Forest Central Till Plains,paper,0.00132697214867303
Central Interior Broadleaf Forest Central Till Plains,slash,0.25
Central Interior Broadleaf Forest Central Till Plains,residue,0.3
Central Interior Broadleaf Forest Eastern Low Plateau,softwood_lumber,0.0361297484638703
Central Interior Broadleaf Forest Eastern Low Plateau,hardwood_lumber,0.377712201672288
Central Interior Broadleaf Forest Eastern Low Plateau,plywood,0.000447142949552857
Central Interior Broadleaf Forest Eastern Low Plateau,osb,0
Central Interior Broadleaf Forest Eastern Low Plateau,nonstructural_panels,0.0115726823884273
Central Interior Broadleaf Forest Eastern Low Plateau,misc,0.00868369544131631
Central Interior Broadleaf Forest Eastern Low Plateau,paper,0.0154545290845455
Central Interior Broadleaf Forest Eastern Low Plateau,slash,0.25
Central Interior Broadleaf Forest Eastern Low Plateau,residue,0.3
Central Interior Broadleaf Forest Ozark Highlands,softwood_lumber,0.0280153134
Central Interior Broadleaf Forest Ozark Highlands,hardwood_lumber,0.3858002388
Central Interior Broadleaf Forest Ozark Highlands,plywood,0
Central Interior Broadleaf Forest Ozark Highlands,osb,0
Central Interior Broadleaf Forest Ozark Highlands,nonstructural_panels,0.0055866474
Central Interior Broadleaf Forest Ozark Highlands,misc,0.0191237031
Central Interior Broadleaf Forest Ozark Highlands,paper,0.0114740973
Central Interior Broadleaf Forest Ozark Highlands,slash,0.25
Central Interior Broadleaf Forest Ozark Highlands,residue,0.3
Central Interior Broadleaf Forest Western Low Plateau,softwood_lumber,0.00677409255
Central Interior Broadleaf Forest Western Low Plateau,hardwood_lumber,0.3789342981
Central Interior Broadleaf Forest Western Low Plateau,plywood,0
Central Interior Broadleaf Forest Western Low Plateau,osb,0
Central Interior Broadleaf Forest Western Low Plateau,nonstructural_panels,0.01036815975
Central Interior Broadleaf Forest Western Low Plateau,misc,0.0094654512
Central Interior Broadleaf Forest Western Low Plateau,paper,0.0444579984
Central Interior Broadleaf Forest Western Low Plateau,slash,0.25
Central Interior Broadleaf Forest Western Low Plateau,residue,0.3
Central Maine & Fundy Coast & Ebayment,softwood_lumber,0.15135269625
Central Maine & Fundy Coast & Ebayment,hardwood_lumber,0.0208584378
Central Maine & Fundy Coast & Ebayment,plywood,0
Central Maine & Fundy Coast & Ebayment,osb,0
Central Maine & Fundy Coast & Ebayment,nonstructural_panels,0
Central Maine & Fundy Coast & Ebayment,misc,0
Central Maine & Fundy Coast & Ebayment,paper,0.27778886595
Central Maine & Fundy Coast & Ebayment,slash,0.25
Central Maine & Fundy Coast & Ebayment,residue,0.3
Central New Mexico,softwood_lumber,0.4115448189
Central New Mexico,hardwood_lumber,7.14564e-05
Central New Mexico,plywood,0
Central New Mexico,osb,0
Central New Mexico,nonstructural_panels,0.0015490026
Central New Mexico,misc,0.0368347221
Central New Mexico,paper,0
Central New Mexico,slash,0.25
Central New Mexico,residue,0.3
Chihuahuan Semi-Desert,softwood_lumber,0.45
