year,product,prop_remaining,prop_emitted
90,paper,0,1
95,softwood_lumber,0.227,0.773
95,hardwood_lumber,0.17,0.83
95,plywood,0.229,0.771
95,osb,0.3,0.7
95,nonstructural_panels,0.188,0.812
95,misc,0.163,0.837
95,paper,0,1
100,softwood_lumber,0.213,0.787
100,hardwood_lumber,0.156,0.844
100,plywood,0.215,0.785
100,osb,0.285,0.715
100,nonstructural_panels,0.174,0.826
100,misc,0.149,0.851
100,paper,0,1
