product,lambda
softwood_lumber,0.0164168769706375
hardwood_lumber,0.0190690008433837
plywood,0.0163277653489549
osb,0.0133879752109057
nonstructural_panels,0.0181857546409002
misc,0.0194925581263689
paper,0.218966364433134
residue,4.60517018598809
slash,0.0512932943875506
